pl_name,pl_rade,pl_masse,pl_eqt,pl_insol,pl_orbper,pl_orbsmax,st_spectype,st_mass,st_lum,st_rad,st_teff
KELT-9 b,21.196219,915.3504,4050,44900,1.4811235,0.03462,B9.5-A0,2.52,1.72428,2.362,10170
KIC 10001893 b,,,,,0.2197,,,,,,27500
KIC 10001893 c,,,,,0.32528,,,,,,27500
KIC 10001893 d,,,,,0.81161,,,,,,27500
KIC 10068024 b,,,,,2.073549,,,1.22,,1.574,6118.4
KIC 10525077 b,5.5,,,,854.083,,,1.01,,1.01,6091
KIC 3526061 b,,,,,3552,5.14,,1.42,1.21484,5.86,4829
KIC 3558849 b,6.9,,,,1322.3,,,0.98,,1.01,6175
KIC 5437945 b,6.7,,308,2.14,440.786134,1.1455,,1.031,,1.393,6340
KIC 5479689 b,,,,,1.701531,,,0.966,,0.894,5459.1
KIC 7917485 b,,,,,840,,A,1.63,0.99564,,7067
KIC 8121913 b,,,,,3.294601,,,1.456,,2.233,5975.3
KIC 8540376 b,4.1,,,,31.8099,,,1.04,,1.26,6474
KIC 8540376 c,2.4,,,,75.2,,,1.04,,1.26,6474
KIC 9663113 b,8.042,,,2.6,572.383277,1.55346,,1.525,,2.146,6218
KMT-2016-BLG-0212L b,,10.9,,,,4.6,,0.39,,,
KMT-2016-BLG-1105L b,,9.51,,,,2.56,,0.44,,,
KMT-2016-BLG-1107L b,,1043,,,,0.342,,0.087,,,
KMT-2016-BLG-1397L b,,,,,,,,,,,
KMT-2016-BLG-1820L b,,1450,,,,1.08,,0.039,,,
KMT-2016-BLG-1836L b,,730,,,,2.7,,0.53,,,
KMT-2016-BLG-2142L b,,4923,,,,0.83,,0.073,,,
KMT-2016-BLG-2321L b,,301.9369867,,,,3.58,,0.73,,,
KMT-2016-BLG-2364L b,,1250,,,,2.63,,0.5,,,
KMT-2016-BLG-2397L b,,836,,,,3.64,,0.64,,,
KMT-2016-BLG-2605L b,,245.0457018,,,,0.681,,0.064,,,
KMT-2017-BLG-0165L b,,,,,,,,,,,
KMT-2017-BLG-0428L b,,5.55,,,,1.85,,0.34,,,
KMT-2017-BLG-0673L b,,1166.430254,,,,2.34,,0.63,,,
KMT-2017-BLG-0849L b,,6.39,,,,2.73,,0.19,,,
KMT-2017-BLG-1003L b,,5.19,,,,1.38,,0.32,,,
KMT-2017-BLG-1038L b,,760,,,,1.9,,0.43,,,
KMT-2017-BLG-1057L b,,23.5,,,,2.36,,0.57,,,
KMT-2017-BLG-1146L b,,270,,,,1.7,,0.4,,,
KMT-2017-BLG-1194L b,,3.54,,,,1.78,,0.41,,,
KMT-2017-BLG-2197L b,,2809.603118,,,,15.91,,0.36,,,
KMT-2017-BLG-2331L b,,171,,,,2.14,,0.4,,,
KMT-2017-BLG-2509L b,,664.2613706,,,,2.14,,0.46,,,
KMT-2018-BLG-0029L b,,7.59,,,,4.27,,1.14,,,
KMT-2018-BLG-0030L b,,460.8511902,,,,4.39,,0.51,,,
KMT-2018-BLG-0087L b,,101.7050902,,,,0.66,,0.11,,,
KMT-2018-BLG-0247L b,,648.3699503,,,,2.56,,0.27,,,
KMT-2018-BLG-0748L b,,60,,,,0.62,,0.087,,,
KMT-2018-BLG-0885L b,,9217.023803,,,,1.07,,0.29,,,
KMT-2018-BLG-1025L b,,6.059,,,,1.305,,0.219,,,
KMT-2018-BLG-1292L b,,1570,,,,6.56,,1.25,,,
KMT-2018-BLG-1743L b,,77.86795971,,,,1.449,,0.193,,,
KMT-2018-BLG-1976L b,,705.5790635,,,,3.54,,0.65,,,
KMT-2018-BLG-1988L b,,5.56,,,,3.09,,0.47,,,
KMT-2018-BLG-1990L b,,293,,,,1.521,,0.235,,,
KMT-2018-BLG-1996L b,,387.7506565,,,,1.97,,0.69,,,
KMT-2018-BLG-2602L b,,365.5026681,,,,3.81,,0.66,,,
KMT-2019-BLG-0253L b,,9.2,,,,3.1,,0.7,,,
KMT-2019-BLG-0297L b,,6038.739733,,,,0.96,,0.21,,,
KMT-2019-BLG-0298L b,,567.9593633,,,,5.763,,0.686,,,
KMT-2019-BLG-0335L b,,6674.396547,,,,1.64,,0.32,,,
KMT-2019-BLG-0371L b,,2447.278734,,,,0.79,,0.09,,,
KMT-2019-BLG-0414L b,,1353.949014,,,,9.42,,0.74,,,
KMT-2019-BLG-0578L b,,381.3940884,,,,1.2,,0.28,,,
KMT-2019-BLG-0842L b,,10.28,,,,3.31,,0.76,,,
KMT-2019-BLG-0953L b,,15.5,,,,1.1,,0.28,,,
KMT-2019-BLG-1042L b,,60.38739733,,,,1.7,,0.3,,,
KMT-2019-BLG-1216L b,,42.58900654,,,,2.987,,0.525,,,
KMT-2019-BLG-1339L b,,3880,,,,0.67,,0.27,,,
KMT-2019-BLG-1367L b,,4.08,,,,1.7,,0.25,,,
KMT-2019-BLG-1552L b,,1287.205048,,,,2.6,,0.79,,,
KMT-2019-BLG-1715L b,,813.6407219,,,,3.32,,0.61,,,
KMT-2019-BLG-1806L b,,4.67,,,,3.02,,0.74,,,
KMT-2019-BLG-1953L b,,,,,,,,,,,
KMT-2019-BLG-2783L b,,368.6809521,,,,1.85,,0.34,,,
KMT-2019-BLG-2974L b,,88.99195396,,,,2,,0.47,,,
KMT-2020-BLG-0414L b,,0.96,,,,1.26,,0.259,,,
KMT-2020-BLG-0414L c,,5371.300078,,,,16.6,,0.34,,,
KMT-2021-BLG-0119L b,,1802.087068,,,,3.24,,0.69,,,
KMT-2021-BLG-0171L b,,12.1,,,,2.9,,0.8,,,5200
KMT-2021-BLG-0192L b,,34.96112477,,,,1.62,,0.27,,,
KMT-2021-BLG-0240L b,,127.1313628,,,,2.5,,0.47,,,
KMT-2021-BLG-0320L b,,31.7828407,,,,1.54,,0.32,,,
KMT-2021-BLG-0322L b,,2034.101805,,,,,,0.62,,,
KMT-2021-BLG-0712L b,,39.9,,,,2.29,,0.23,,,
KMT-2021-BLG-0736L b,,21,,,,4,,0.6,,,
KMT-2021-BLG-0748L b,,143.0227832,,,,2.43,,0.36,,,
KMT-2021-BLG-0909L b,,400.4637928,,,,1.75,,0.38,,,
KMT-2021-BLG-0912L b,,6.92,,,,3.03,K,0.75,,,
KMT-2021-BLG-1077L b,,69.92224954,,,,1.26,M V,0.14,,,
KMT-2021-BLG-1077L c,,79.45710175,,,,0.93,M V,0.14,,,
KMT-2021-BLG-1105L b,,413.1769291,,,,3.64,,0.63,,,
KMT-2021-BLG-1150L b,,279.6889982,,,,4.5,,0.73,,,
KMT-2021-BLG-1253L b,,22.05,,,,1.72,,0.29,,,
KMT-2021-BLG-1303L b,,120.7747947,,,,2.89,,0.57,,,
KMT-2021-BLG-1372L b,,62.41,,,,2.45,,0.42,,,
KMT-2021-BLG-1391L b,,4.67,,,,2.26,,0.38,,,
KMT-2021-BLG-1547L b,,467.2077583,,,,4.5,,0.72,,,
KMT-2021-BLG-1554L b,,38.13940884,,,,0.96,,0.08,,,
KMT-2021-BLG-1689L b,,46,,,,2.2,,0.58,,,4570
KMT-2021-BLG-1770L b,,6674.396547,,,,0.9,,0.13,,,
KMT-2021-BLG-1898L b,,251.0844415,,,,3,,0.48,,,
KMT-2021-BLG-2010L b,,340.0763955,,,,1.79,,0.37,,,
KMT-2021-BLG-2294L b,,22.24798849,,,,1.07,,0.11,,,
KMT-2021-BLG-2478L b,,286.0455663,,,,1.85,,0.2,,,
KMT-2021-BLG-2609L b,,35.59678158,,,,2.3,,0.2,,,
KMT-2022-BLG-0303L b,,163.0459728,,,,4.81,,0.368,,,
KMT-2022-BLG-0371L b,,82.63538582,,,,3.02,,0.63,,,
KMT-2022-BLG-0440L b,,15.4,,,,1.9,,0.53,,,
KMT-2022-BLG-1013L b,,98.52680617,,,,1.38,,0.18,,,
KMT-2022-BLG-1790L b,,549.8431441,,,,5.25,,0.58,,,
KMT-2022-BLG-2076L b,,279.6889982,,,,5.67,,0.67,,,
KMT-2022-BLG-2286L b,,6038.739733,,,,2.02,,0.2,,,
KMT-2023-BLG-0416L b,,2116.737191,,,,2.32,,0.64,,,
KMT-2023-BLG-0469L b,,39.41072247,,,,2.31,,0.47,,,
KMT-2023-BLG-0735L b,,38.77506565,,,,2.96,,0.61,,,
KMT-2023-BLG-1431L b,,13.6,,,,3.2,,0.57,,,
KMT-2023-BLG-1454L b,,200.2318964,,,,1.18,,0.17,,,
KMT-2023-BLG-1642L b,,343.2546796,,,,1.41,,0.17,,,
KMT-2023-BLG-1743L b,,6356.56814,,,,1.16,,0.11,,,
KMT-2023-BLG-1866L b,,3.69,,,,2.5,,0.48,,,
KMT-2023-BLG-2209L b,,254.2627256,,,,3.51,,0.73,,,
KMT-2024-BLG-1044L b,,7.75,,,,,,0.069,,,
KMT-2024-BLG-1209L b,,839.0669945,,,,3.92,K3 V,0.77,,,
KOBE-1 b,,,594.4,20.56,8.5399,0.07006,K7 V,0.629,-0.99576,0.619,4135
KOBE-1 c,,,392.5,3.91,29.671,0.16071,K7 V,0.629,-0.99576,0.619,4135
KOI-12 b,13.16,,911,163.04,17.85522168,0.1491,,1.386,,1.367,6823
KOI-1257 b,7.89,,,,86.64763676,,,0.89,,0.89,5421
KOI-13 b,,,,,1.763587474,,,,,,7986.07
KOI-134 b,12.024,,,30,67.5952229,0.36252,,1.389,,1.706,6236
KOI-134 c,,69.92224954,,,33.95,0.2305,F9V,1.407,0.62325,1.667,6160
KOI-142 b,3.78,,791,,10.916386,0.098,,1.065,,0.997,5621
KOI-142 c,,,,,22.267161,0.154121003,,0.985,,,
KOI-1599.01,,,,,20.4074846,,,1.05,0.16196,1.17992,5833
KOI-1599.02,64.05,,755,76.81,13.6163456,0.1125,,1.02,,0.972,5823
KOI-1783.01,7.5,,372,4.55,134.4786723,0.5187,,1.027,,0.957,6215
KOI-1783.02,4.4,,290,1.68,284.060953,0.8539,,1.027,,0.957,6215
KOI-1831 d,,1.26,,,34.205785,,,0.901,,0.836,
KOI-1833 d,1.95,,586,27.88,7.684334874,0.0632,,0.568,,0.577,4397
KOI-1843.03,0.63,,1654,,0.176893,0.005,,,,0.52,3673
KOI-217 b,13.14,,1046,282.59,3.905081985,0.0485,,0.997,,0.887,5543
KOI-2513.01,103.23,,758,78.19,19.00537199,0.1412,,1.032,,1.036,6347
KOI-3503 b,0.79,,676,49.23,21.1876185,0.1462,,0.925,,0.849,6355
KOI-3503 c,,,,,31.8245304,,,1.11,0.30005,1.30833,5997.65
KOI-351 b,,,,,7.008234984,,,1.12,0.26853,1.24773,6031.13
KOI-351 c,1.29,,986,223.35,8.71982853,0.0821,,0.967,,1.054,6238
KOI-351 d,,,,,59.7371443,,,1.12,0.26853,1.24773,6031.13
KOI-351 e,2.66,,,,91.93913,0.42,,1.2,,1.2,6080
KOI-351 f,,,,,124.922516,,,1.12,0.26853,1.24773,6031.13
KOI-351 g,,,,,210.5933407,,,1.12,0.26853,1.24773,6031.13
KOI-351 h,,,,,331.5972732,,,1.12,0.26853,1.24773,6031.13
KOI-3680 b,11.09691,613.4119,347,,141.241671,0.534,,1.01,,0.96,5830
KOI-4777.01,0.51,99.2,1180,320,0.412,0.008,,0.41,,0.4,3515
KOI-4978 b,0.7,,,,0.941967,,G,0.859,,0.966,5050.28
KOI-55 b,0.759,0.44,,,0.240104,0.006,B,0.496,1.36,0.203,27730
KOI-55 c,0.867,0.655,,,0.342887,0.0076,B,0.496,1.36,0.203,27730
KOI-7368 b,,,,,6.842939,,,0.782,-0.31552,0.995767,4823.55
KOI-7913 b,2.34,,,,24.278553,,K6 V,0.76,,0.788,4324
KOI-94 b,1.55,,1391,885.02,3.743175556,0.0485,,1.081,,1.297,6098
KOI-94 c,,,,,10.42368297,,,1.183,0.42962,1.42864,6184
KOI-94 d,10.311,,,,22.34296959,0.163917731,,1.177,,,
KOI-94 e,6.73,,609,,54.31993,0.305,,1.278,,1.52,6184
KOI-984 b,3.19,,1023,,4.2873775,0.052,,1.01,,0.92,5515
KOI-984 c,,209.8,597,,21.512,0.1467,,0.928,,0.818,5295
KPS-1 b,11.54527,346.4347,1459,729,1.706291,0.0269,K1 V,0.892,,0.907,5165
Kapteyn c,,,,,121.54,0.311,,0.281,,0.291,3550
Kepler-10 b,1.47,3.72,,,0.8374907,0.01685,,0.91,0.00173,1.065,5708
Kepler-10 c,2.26,,524,17.75,45.29422297,0.2388,,0.884,,1.044,5676
Kepler-10 d,,,387,,151.06,0.5379,,0.91,,1.065,5708
Kepler-100 b,1.24,,1071,,6.887099,0.073,,1.11,,1.23,5909
Kepler-100 c,2.221,,,,12.815909,,,1.059,0.41123,1.5582,5859
Kepler-100 d,,,,,35.33221177,,,1.059,0.41123,1.5582,5859
Kepler-100 e,,,,,60.888588,0.312391586,,1.097,,,
Kepler-1000 b,,,,,120.0186265,,,1.32,0.7147,1.81263,6469.13
Kepler-1001 b,3.11,,695,55.23,14.30511983,0.1128,,0.934,,0.852,5735
Kepler-1001 c,1.55,,806,99.6,9.18186435,0.084,,0.934,,0.852,5735
Kepler-1002 b,,,,,4.33643506,,,,,,5907.13
Kepler-1003 b,1.3,,1155,421.09,3.554856915,0.0445,,0.926,,0.829,6068
Kepler-1004 b,,,,,5.287853674,,,,,3.55299,4917.72
Kepler-1005 b,1.52,,1027,262.88,6.49801525,0.0663,,0.921,,1.099,5718
Kepler-1006 b,2.81,,791,92.38,19.76169247,0.1464,,1.064,,1.175,6327
Kepler-1007 b,1.17,,652,42.62,5.185002073,0.048,,0.547,,0.56,4325
Kepler-1008 b,,,,,12.43931689,,,0.85,-0.50671,0.724115,5066.94
Kepler-1009 b,2.17,,,,11.35011917,,,0.59,,0.57,4027
Kepler-101 b,5.986,,,1240.332,,,,,,1.691,5661
Kepler-101 c,1.33,,,,6.029809,0.068,,,,1.666,5570
Kepler-1010 b,2.47,,498,14.56,34.2685705,0.1925,,0.809,,0.866,5325
Kepler-1011 b,,,,,5.7532239,,,0.87,-0.37597,0.816069,5146
Kepler-1012 b,1.29,,931,177.78,5.50860439,0.0598,,0.938,,0.897,5451
Kepler-1013 b,4.41,,766,81.42,18.93055119,0.137,,0.955,,1.643,5015
Kepler-1014 b,2.21,,619,34.67,16.57110363,0.1204,,0.849,,0.788,5484
Kepler-1015 b,3.55,,,,16.00494214,,,1.49,,1.81,6769
Kepler-1016 b,2.38,,1540,1331.18,1.954525966,0.0307,,1.01,,1.136,5741
Kepler-1016 c,3.68,,,,105.6551369,,,0.99,,1,5821
Kepler-1017 b,,,,,7.2340102,,,0.99,-0.16138,0.882559,5599
Kepler-1018 b,2.58,,,,49.1013514,,,0.91,,0.88,5518
Kepler-1019 b,1.3,,1006,,1.4112265,0.021,,0.605,,0.573,4368
Kepler-102 b,0.54,,792,,5.286978,0.055,,0.8,,0.736,4908
Kepler-102 c,0.58,,723,64.54,7.07136076,0.0651,,0.734,,0.755,4812
Kepler-102 d,1.17,2.6,,,10.312,,,0.73,,0.755,
Kepler-102 e,2.52,,549,21.46,16.14569077,0.1129,,0.734,,0.755,4812
Kepler-102 f,0.81,,,,27.4537294,,,0.8,,0.74,4884
Kepler-1020 b,,,,,96.91519761,,,0.89,-0.43597,0.734936,5238.53
Kepler-1021 b,2.07,,643,40.49,13.47469571,0.1029,,0.801,,0.747,5413
Kepler-1022 b,,,,,10.99471714,,,0.67,-0.85831,0.676085,4283
Kepler-1023 b,,,,,62.1385979,,,0.9,-0.1926,0.961753,5268
Kepler-1024 b,,,,,66.41641966,,,0.9,-0.34993,0.810164,5242.74
Kepler-1025 b,2.352,,,17.952,,,,,,1.3,6031
Kepler-1026 b,,,,,36.51559488,,,0.79,-0.61688,0.697921,4844
Kepler-1027 b,1.9,,1859,2820.62,1.907805199,0.0296,,0.954,,1.714,5537
Kepler-1028 b,1.31,,1223,528.37,2.51462432,0.0353,,0.925,,0.841,5679
Kepler-1029 b,1.2,,852,124.59,4.417696479,0.0468,,0.7,,0.724,4911
Kepler-103 b,3.14,,864,131.47,15.96533687,0.128,,1.094,,1.436,5845
Kepler-103 c,5.55,,,,179.6076602,,,1.12,,1.46,5934
Kepler-1030 b,,,,,19.32964621,,,0.81,-0.55288,0.721474,4943.05
Kepler-1031 b,0.78,,1769,2313.02,1.22621732,0.0229,,1.059,,0.991,6095
Kepler-1032 b,1.87,,,,3.290117953,,,0.77,,0.71,4647
Kepler-1033 b,2.366,,,159.422,,,,,,0.925,5890
Kepler-1034 b,2.27,,663,45.7,12.12400943,0.0982,,0.859,,0.796,5280
Kepler-1035 b,1,,1228,537.57,2.714077555,0.0344,,0.734,,0.818,5709
Kepler-1036 b,3.01,,,,122.8808058,,,0.95,,0.89,5533
Kepler-1037 b,1.61,,1652,1761.19,1.063788673,0.0198,,0.919,,1.002,5265
Kepler-1038 b,3.27,,293,1.73,148.4603382,0.515,,0.828,,0.759,5463
Kepler-1038 c,1.21,,784,89.24,7.12766417,0.0692,,0.868,,0.821,5159
Kepler-1039 b,1.345,,,761.7,0.934884242,0.01714,,0.767,,0.695,4766
Kepler-104 b,3.1,,,,11.427548,0.094,,,,1.349,5711
Kepler-104 c,2.446,,,45.438,,,,,,1.062,5760
Kepler-104 d,,,,,51.75530504,,,1.08,0.08926,1.05316,5921
Kepler-1040 b,3.05,,337,,201.1232,0.657,,0.936,,1.14,5793
Kepler-1041 b,2.59,,644,40.74,24.7576421,0.1688,,1.043,,0.966,6106
Kepler-1042 b,,,,,10.13200555,,,,,,
Kepler-1043 b,2.55,,,,38.5053398,,,0.92,,0.9,5629
Kepler-1044 b,2.61,,1064,303.05,6.77408868,0.0724,,1.098,,1.09,6217
Kepler-1045 b,2.4,,514,16.46,26.41045478,0.1612,,0.801,,0.738,5443
Kepler-1046 b,,,,,14.37507627,,,,,1.15287,6020.67
Kepler-1047 b,,,,,56.18876677,,,0.98,0.42359,1.75095,5566.56
Kepler-1047 c,0.79,,1219,521.23,3.18897601,0.0422,,0.98,,0.958,5798
Kepler-1048 b,2.462,,,96.976,,,,,,0.975,4460
Kepler-1049 b,0.96,,,,3.27,,,,,,
Kepler-105 b,3.38,,1296,,5.4122014,0.064,,1.18,,1.35,6398
Kepler-105 c,,,,,7.12594387,,,1.09,0.09657,1.05138,5950.98
Kepler-1050 b,1.51,,785,,15.3791,0.122,,1.034,,1.05,6064
Kepler-1050 c,1.48,,,,21.1284569,,,1.09,,1.13,6010
Kepler-1051 b,3.25,,850,123.11,25.96190067,0.1891,,1.337,,1.729,6369
Kepler-1052 b,,,,,34.8536903,,,1.02,-0.04685,0.964799,5720
Kepler-1052 c,2.455,,,2.1,180.92477,0.62919,,1.014,,0.927,5738
Kepler-1053 b,,,,,2.41434868,,,0.689,-0.89512,0.612574,4405.22
Kepler-1054 b,2.68,,,685.2,4.30655689,0.05542,,1.223,,1.386,5909
Kepler-1055 b,,,,,2.2950397,,,1.01,-0.14818,0.8701,5681.94
Kepler-1056 b,,,,,27.49568902,,,1.13,0.22658,1.17307,6071.7
Kepler-1057 b,,,,,14.08825329,,,1.11,-0.0058,0.915006,6014
Kepler-1058 b,2.12,,239,0.77,110.96546,0.3679,,0.538,,0.546,4441
Kepler-1059 b,1.74,,909,161.24,3.764191048,0.044,,0.814,,0.728,5065
Kepler-106 b,0.79,,1021,256.35,6.164876,0.0648,,0.951,,1.012,5854
Kepler-106 c,2.5,10.44,,,13.5708,,,1,,1.04,5858
Kepler-106 d,0.99,,658,44.45,23.9802348,0.1597,,0.944,,1.029,5881
Kepler-106 e,2.621,,,,43.84444353,0.239969342,,0.959,,,
Kepler-1060 b,,,,,46.87827068,,,1.01,0.07184,1.11854,5688
Kepler-1061 b,1.869,,,757,2.757982666,0.0388,,1.023,,0.992,5994
Kepler-1062 b,1.58,,554,,9.304236,0.074,,0.62,,0.59,4451
Kepler-1063 b,1.49,,,,14.07971466,,,1.09,,1.14,5945
Kepler-1064 b,1.55,,,,16.54080322,,,0.85,,0.79,5153
Kepler-1065 b,3.47,,1092,336.16,3.609308907,0.0455,,0.963,,0.868,5668
Kepler-1065 c,1.6,,,,2.37030743,,,0.94,,0.93,5635
Kepler-1066 b,2.067,,,696.7,1.931559839,0.0298,,0.945,,0.85,5558
Kepler-1067 b,,,,,0.762132307,,,0.95,-0.14725,0.942935,5461
Kepler-1067 c,,,,,5.42586901,,,0.95,-0.14725,0.942935,5461
Kepler-1068 b,,,,,16.92342126,,,1,-0.02521,1.01559,5645
Kepler-1069 b,2.21,,666,,23.8992,0.166,,1.07,,1.23,5556
Kepler-107 b,1.592,,,1175.382,,,,,,1.459,5866
Kepler-107 c,1.81,,,,4.901425,0.059,,,,1.411,5851
Kepler-107 d,,,,,7.95792901,,,1.04,0.36449,1.50416,5805
Kepler-107 e,2.89,,874,137.91,14.74914825,0.1221,,1.113,,1.402,5847
Kepler-1070 b,1.59,,1101,348.15,6.22161107,0.0693,,1.148,,1.097,6277
Kepler-1071 b,2.425,,,137.927,,,,,,0.903,5167
Kepler-1072 b,1.58,,,,1.569066502,,,1.2,,1.32,6199
Kepler-1073 b,,,,,8.67890312,,,1.03,-0.01023,0.987612,5774
Kepler-1073 c,,,,,4.02581966,,,1.03,-0.01023,0.987612,5774
Kepler-1073 d,,,,,2.50475282,,,1.03,-0.01023,0.987612,5774
Kepler-1074 b,,,,,5.94564846,,,0.586106,-1.12071,0.597575,3917
Kepler-1075 b,,,,,1.52373073,,,0.583534,-1.11289,0.594446,3945
Kepler-1076 b,0.81,,770,83.12,6.14727918,0.0611,,0.806,,0.746,4996
Kepler-1077 b,2.64,,576,26.1,34.3511874,0.2101,,1.045,,0.967,6091
Kepler-1078 b,1.61,,1125,378.75,3.00725242,0.0387,,0.851,,0.782,5674
Kepler-1079 b,1.77,,887,146.31,13.24503482,0.1092,,0.988,,1.39,5636
Kepler-108 b,,,,,49.18395775,,,,,,5584.26
Kepler-108 c,,,,,190.3218004,,,,,,5584.26
Kepler-1080 b,,,,,77.2550726,,,1.37,0.86064,2.07388,6578.02
Kepler-1081 b,0.957,,,225.216,,,,,,0.839,5273
Kepler-1082 b,1.302,,,2949.557,,,,,,1.362,5847
Kepler-1083 b,3.22,,449,9.64,33.4177993,0.1898,,0.825,,0.745,5142
Kepler-1084 b,1.14,,1859,2823.41,2.05333679,0.0316,,0.992,,1.369,6403
Kepler-1085 b,7.22,,,,219.3217528,,,1.11,,1.14,6000
Kepler-1085 c,,,,,56.77656132,,,1.05,0.07867,1.0783,5816
Kepler-1086 b,,,,,18.78429232,,,0.7,-0.85997,0.615523,4484.48
Kepler-1086 c,,,,,161.5152598,,,0.7,-0.85997,0.615523,4484.48
Kepler-1087 b,,,,,0.693842661,,,0.9,-0.09746,1.07347,5267.04
Kepler-1088 b,1.44,,667,46.89,23.1274171,0.1602,,1.024,,1.066,5865
Kepler-1089 b,,,,,5.13248544,,,0.549644,-1.29726,0.554903,3672
Kepler-109 b,2.37,7.3,,,6.48163,,,1.04,,1.32,5952
Kepler-109 c,2.52,21.8,,,21.2227,,,1.04,,1.32,5952
Kepler-1090 b,,,,,198.680859,,,0.89,-0.14595,1.03475,5217
Kepler-1090 c,3.08,,482,12.79,42.4267342,0.2212,,0.8,,0.906,5403
Kepler-1091 b,1.09,,1426,978.41,1.434741564,0.0232,,0.81,,0.754,5672
Kepler-1092 b,2.15,,508,15.8,58.6017925,0.2996,,1.038,,1.019,6250
Kepler-1093 b,,,,,25.08282784,,,1.26,0.46038,1.40659,6343.61
Kepler-1093 c,1.96,,,,89.722292,,,1.13,,1.2,6166
Kepler-1094 b,3.18,,,,78.1000231,,,1.14,,1.21,6112
Kepler-1095 b,1.24,,1108,356.54,4.27103091,0.0514,,0.993,,0.906,5984
Kepler-1096 b,1.515,,,124.866,,,,,,0.709,4230
Kepler-1097 b,3.12,,267,1.2,187.747029,0.5791,,0.734,,0.753,5303
Kepler-1098 b,1.24,,1288,,2.543066,0.036,,0.947,,0.92,5782
Kepler-1099 b,,,,,2.168451063,,,1.02,-0.11906,0.886589,5724
Kepler-11 b,1.97,4.3,,,10.30375,0.091,,0.95,,1.1,5680
Kepler-11 c,3.15,13.5,,,13.02502,0.106,,0.95,,1.1,5680
Kepler-11 d,3.3,6.8,,,22.687,,,0.9,,,
Kepler-11 e,3.89,,582,27.17,31.99550624,0.1921,,0.921,,1.046,5657
Kepler-11 f,2.79,,,,46.6858024,,,0.99,,1.07,5745
Kepler-11 g,3.49,,,,118.378379,,,0.99,,1.07,5745
Kepler-110 b,3.01,,990,,12.69115,0.109,,1.067,,1.58,5899
Kepler-110 c,3.54,,786,90.37,31.71982498,0.201,,1.075,,1.843,5887
Kepler-1100 b,1.75,,,,6.42200058,,,1.21,,1.34,6247
Kepler-1101 b,2.55,,393,5.64,81.3153052,0.3483,,0.852,,0.975,5325
Kepler-1102 b,3.4,,546,,51.3292,0.274,,1.04,,1.13,6098
Kepler-1103 b,3.228,,,139.2,19.79191978,0.15336,,1.227,,1.632,6085
Kepler-1104 b,1.07,,1256,587.47,5.03728015,0.0614,,1.216,,1.195,6452
Kepler-1105 b,1.92,,697,55.8,4.421572182,0.0461,,0.668,,0.656,4189
Kepler-1106 b,1.39,,1775,2346.25,1.252752174,0.0229,,1.025,,0.955,6231
Kepler-1107 b,1.65,,1897,3069.59,0.571038347,0.0126,,0.82,,0.886,5132
Kepler-1108 b,1.39,,966,,4.510142,0.052,,0.913,,0.81,5554
Kepler-1109 b,1.77,,508,15.76,37.6467384,0.2116,,0.892,,0.847,5758
Kepler-111 b,,,,,3.341799486,,,1.09,0.19471,1.17674,5952
Kepler-111 c,7.34,,324,,224.79712,0.763,,1.171,,1.16,5952
Kepler-1110 b,2.34,,608,32.4,9.69312032,0.0754,,0.607,,0.618,4818
Kepler-1111 b,1.77,,900,,8.79631,0.085,,1.058,,0.96,6071
Kepler-1112 b,,,,,14.36281802,,,1.35,0.54224,1.45606,6535.76
Kepler-1113 b,2.81,,,,42.3004954,,,1.12,,1.17,5931
Kepler-1114 b,1.5,,696,55.62,14.97435694,0.1103,,0.798,,0.919,5470
Kepler-1115 b,2.17,,1381,859.63,23.5540725,0.2134,,2.335,,2.286,9565
Kepler-1116 b,2.37,,489,13.57,41.6977827,0.2331,,0.969,,0.872,5737
Kepler-1117 b,1.01,,964,203.99,4.79028459,0.0538,,0.902,,0.827,5573
Kepler-1118 b,2.56,,502,15.03,38.6715075,0.2079,,0.801,,0.913,5432
Kepler-1119 b,,,,,8.32651274,,,1.09,0.48586,1.63818,5965
Kepler-112 b,2.72,,914,164.66,8.408876951,0.0741,,0.766,,0.957,5763
Kepler-112 c,2.52,,,,28.5742649,,,0.89,,0.86,5630
Kepler-1120 b,1.5,,963,,2.949017,0.036,,0.717,,0.71,4929
Kepler-1121 b,1.91,,,,13.15141081,,,1.29,,1.59,6231
Kepler-1122 b,2.01,,479,12.5,42.1917357,0.2335,,0.951,,0.857,5674
Kepler-1123 b,1.69,,1028,263.56,4.33946454,0.0517,,0.977,,0.894,5602
Kepler-1124 b,1.97,,,,2.85,,,,,,
Kepler-1125 b,1.78,,659,,17.67089,0.132,,0.98,,0.87,5810
Kepler-1126 b,1.73,,,,108.593329,,,0.92,,0.93,5798
Kepler-1126 c,1.45,,305,2.06,199.66876,0.6193,,0.794,,0.921,5678
Kepler-1127 b,1.96,,,,5.12330347,,,0.97,,0.95,5664
Kepler-1128 b,3.36,,424,7.67,61.6174528,0.302,,0.966,,0.931,5480
Kepler-1129 b,5.09,,737,69.79,24.3398202,0.1644,,0.998,,1.466,5596
Kepler-1129 c,,,,,76.5362825,,,0.99,-0.0274,1.03118,5595.1
Kepler-113 b,2.001,,,,4.75400115,0.05119424,,0.792,,,
Kepler-113 c,,,,,8.925064482,,,0.754,-0.57598,0.773456,4711
Kepler-1130 b,,,,,5.45298742,,,0.919,-0.25964,0.8707,5327
